time_s,pps
0.0,0
0.5,0
1.0,0
1.5,8320404
2.0,9810998
2.5,9711172
3.0,9588150
3.5,9734296
4.0,9739276
4.5,8825060
5.0,8464400
5.5,8913630
6.0,8664408
6.5,9180862
7.0,8618482
7.5,8981958
8.0,8450962
8.5,9102442
9.0,8424726
9.5,8220320
10.0,8910190
10.5,9672232
11.0,8986302
11.5,8483214
12.0,8731270
12.5,9497296
13.0,9667930
13.5,9671702
14.0,9657332
14.5,9716902
15.0,9655266
15.5,9735942
16.0,9303938
16.5,0
17.0,0
