time_s,pps
0.0,0
0.5,0
1.0,947360
1.5,1133156
2.0,1111762
2.5,1184754
3.0,1059044
3.5,1084516
4.0,1093592
4.5,1113756
5.0,1115164
5.5,1082788
6.0,1229122
6.5,1163974
7.0,1157928
7.5,1151238
8.0,1117112
8.5,1115242
9.0,1114556
9.5,1168406
10.0,1093816
10.5,1139046
11.0,1219480
11.5,1143532
12.0,1141832
12.5,1154774
13.0,1149688
13.5,1158542
14.0,1087342
14.5,922030
15.0,0
15.5,0
