time_s,pps
0.0,0
0.5,0
1.0,0
1.5,1240968
2.0,1090266
2.5,1114512
3.0,1102416
3.5,1089226
4.0,1098934
4.5,1101514
5.0,1100696
5.5,1102884
6.0,1112300
6.5,1097048
7.0,1113958
7.5,1095300
8.0,1096250
8.5,1078850
9.0,1137792
9.5,1104000
10.0,1095552
10.5,1090536
11.0,1092886
11.5,0
12.0,0
