time_s,pps
0.0,0
0.5,0
1.0,597104
1.5,823640
2.0,836132
2.5,788602
3.0,782200
3.5,816580
4.0,786052
4.5,805290
5.0,833174
5.5,773250
6.0,839820
6.5,895822
7.0,887280
7.5,809666
8.0,811460
8.5,819488
9.0,838698
9.5,809464
10.0,854522
10.5,832826
11.0,841692
11.5,849656
12.0,833130
12.5,813434
13.0,825516
13.5,853634
14.0,833704
14.5,893488
15.0,114398
15.5,0
